price,spec_Backlight_Type,spec_Brand,spec_Display_Type,spec_ENERGY_STAR_Certified,spec_High_Dynamic_Range_HDR,spec_LED_Panel_Type,spec_Model_Year,spec_Refresh_Rate,spec_Remote_Control_Type,spec_Resolution,spec_Screen_Size_Class
139.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2023,60,Voice control,4K (2160p),43
99.99,Direct Lit,TCL,LED,No,No,Standard LED,2025,144,Standard,Full HD (1080p),40
109.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,120,Voice control,Full HD (1080p),40
199.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),55
189.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2023,60,Voice control,4K (2160p),50
529.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),48
229.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),50
279.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),55
74.99,None,Toshiba,LCD,No,No,None_OLED,2024,120,Voice control,HD (720p),32
179.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),50
199.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),43
479.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),75
499.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,144,Standard,4K (2160p),65
299.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),65
69.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,60,Voice control,HD (720p),24
369.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),65
149.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),43
399.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),65
149.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),43
89.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,60,Voice control,Full HD (1080p),32
399.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),70
299.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2025,120,"IR, Standard",4K (2160p),65
229.99,Direct Lit,Insignia,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),55
74.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,60,Voice control,Full HD (1080p),24
1399.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),65
479.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),75
349.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),70
99.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,120,Voice control,HD (720p),32
399.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),55
229.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),50
299.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),58
199.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),43
229.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),58
599.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),85
449.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),75
259.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,144,Voice control,4K (2160p),50
399.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2025,144,Voice control,4K (2160p),75
109.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,120,Voice control,Full HD (1080p),40
699.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),85
1999.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),77
599.99,Direct Lit,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),75
179.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,Full HD (1080p),32
349.99,Direct Lit,Insignia,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),65
699.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),75
229.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),43
949.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),65
379.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,60,Standard,4K (2160p),55
499.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,Standard,4K (2160p),65
89.99,Direct Lit,Hisense,LED,No,No,Standard LED,2025,60,Standard,HD (720p),32
309.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),55
799.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),86
199.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2023,120,Voice control,4K (2160p),55
249.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),43
199.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2025,60,"Standard, Voice control",4K (2160p),55
149.99,Direct Lit,TCL,LED,No,Yes,QLED,2025,144,Standard,Full HD (1080p),40
124.99,Direct Lit,LG,LED,No,Yes,Standard LED,2024,120,Standard,HD (720p),32
349.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2025,144,"IR, Standard",4K (2160p),70
199.99,Direct Lit,Hisense,LED,No,Yes,QLED,2025,120,Voice control,4K (2160p),50
379.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),50
199.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,144,Standard,Full HD (1080p),40
399.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),65
449.99,Direct Lit,Insignia,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),75
349.99,Direct Lit,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),55
899.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),85
219.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2025,60,"IR, Standard",4K (2160p),55
279.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,60,"Standard, Voice control",4K (2160p),55
499.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),55
299.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2025,120,"Standard, Voice control",4K (2160p),65
269.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),50
999.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),65
1299.99,Edge Lit,Samsung,LED,No,Yes,QLED,2024,120,"Smart, Voice control",4K (2160p),65
139.99,Direct Lit,TCL,LED,No,Yes,QLED,2025,60,Standard,Full HD (1080p),32
429.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),65
799.99,Edge Lit,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),65
349.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),43
1199.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),55
649.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),65
149.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,HD (720p),32
349.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,60,Standard,4K (2160p),50
999.99,Edge Lit,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),75
1999.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),65
299.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,144,Voice control,4K (2160p),55
169.99,Direct Lit,Hisense,LED,No,Yes,QLED,2025,120,Voice control,4K (2160p),43
946.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),48
649.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,60,Standard,4K (2160p),75
209.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),50
219.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,120,"Standard, Voice control",4K (2160p),43
379.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,120,"Standard, Voice control",4K (2160p),65
999.99,Edge Lit,Samsung,LED,No,Yes,QLED,2024,120,"Smart, Voice control",4K (2160p),55
1099.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),85
149.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2025,120,"Standard, Voice control",4K (2160p),43
1699.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2024,120,Standard,4K (2160p),98
99.99,Direct Lit,Insignia,LED,No,No,Standard LED,2025,120,Voice control,Full HD (1080p),32
1599.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),65
399.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),58
499.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),55
849.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),75
229.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),55
1599.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),77
259.99,Direct Lit,Hisense,LED,No,Yes,QLED,2025,120,Voice control,4K (2160p),55
649.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),85
699.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),55
399.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),65
599.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),75
499.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),75
329.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),65
549.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),70
999.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),75
1499.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),77
229.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),43
349.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),55
109.99,Direct Lit,Hisense,LED,No,No,Standard LED,2025,60,Standard,Full HD (1080p),32
649.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),55
139.99,Direct Lit,Roku,LED,No,No,Standard LED,2024,60,Voice control,Full HD (1080p),32
599.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),65
1999.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2025,120,Standard,4K (2160p),75
269.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),55
479.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),32
579.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),50
1899.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2024,120,"Smart, Voice control",4K (2160p),85
1299.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),55
519.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,60,"Standard, Voice control",4K (2160p),75
259.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,120,"Standard, Voice control",4K (2160p),50
1899.99,Full Array Local Dimming,Samsung,LED,No,Yes,Neo QLED,2025,120,Standard,4K (2160p),65
169.99,Edge Lit,LG,LED,No,No,Standard LED,2022,60,Standard,HD (720p),24
1099.99,Full Array Local Dimming,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),55
1499.99,Full Array Local Dimming,Hisense,LED,No,Yes,QLED,2024,144,"Voice control, Backlit",4K (2160p),100
2599.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),65
1499.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,144,"Standard, Voice control",4K (2160p),98
896.9,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),42
248.99,Direct Lit,LG,LED,No,Yes,QNED,2025,60,Magic,4K (2160p),43
499.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),43
2299.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2025,120,Standard,4K (2160p),85
999.99,Full Array Local Dimming,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),50
199.99,Direct Lit,LG,LED,No,No,Standard LED,2022,120,Standard,Full HD (1080p),27
399.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),43
499.99,Full Array Local Dimming,Roku,LED,No,Yes,Mini-LED QLED,2025,120,Voice control,4K (2160p),55
649.99,Full Array Local Dimming,Roku,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),65
369.99,Direct Lit,Hisense,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),65
799.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),65
899.99,Full Array Local Dimming,Sony,LED,No,Yes,Standard LED,2023,120,Voice control,4K (2160p),65
1399.99,None,Sony,OLED,No,Yes,None_OLED,2025,120,Voice control,4K (2160p),65
649.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),55
899.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),55
999.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),65
1599.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2025,120,Standard,4K (2160p),65
179.99,Direct Lit,Roku,LED,No,No,Standard LED,2025,60,Voice control,Full HD (1080p),32
729.99,Direct Lit,TCL,LED,Yes,Yes,QLED,2025,120,Standard,4K (2160p),85
799.99,Edge Lit,TCL,LED,No,Yes,QLED,2024,120,Voice control,4K (2160p),55
1099.99,None,Sony,OLED,No,Yes,None_OLED,2025,120,Voice control,4K (2160p),55
449.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2024,60,Voice control,4K (2160p),43
499.99,Direct Lit,LG,LED,No,Yes,QNED,2025,60,Magic,4K (2160p),65
499.99,Full Array Local Dimming,Toshiba,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),75
799.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),75
199.99,Direct Lit,Roku,LED,No,No,Standard LED,2025,144,Voice control,Full HD (1080p),40
269.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),50
599.99,Direct Lit,LG,LED,No,Yes,Standard LED,2025,120,Standard,4K (2160p),75
2499.99,Full Array Local Dimming,Samsung,LED,No,Yes,Neo QLED,2025,120,Standard,4K (2160p),75
209.99,Direct Lit,LG,LED,No,No,Standard LED,2022,120,Standard,Full HD (1080p),27
899.99,Edge Lit,LG,LED,Yes,Yes,Mini-LED QNED,2025,120,Magic,4K (2160p),75
379.99,Direct Lit,LG,LED,No,Yes,QNED,2025,120,Magic,4K (2160p),55
1099.99,Edge Lit,Hisense,LED,No,Yes,QLED,2024,144,"Voice control, Backlit",4K (2160p),65
3499.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),77
899.99,Edge Lit,Hisense,LED,No,Yes,QLED,2024,144,"Voice control, Backlit",4K (2160p),55
469.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),50
1699.99,None,Sony,OLED,No,Yes,None_OLED,2024,120,Voice control,4K (2160p),65
899.99,Full Array Local Dimming,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),43
89.99,Direct Lit,Pioneer,LED,No,No,Standard LED,2024,120,"Standard, IR, Voice control",HD (720p),32
649.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),75
849.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,144,"Standard, Voice control",4K (2160p),85
1599.99,None,Sony,OLED,No,Yes,None_OLED,2023,120,Voice control,4K (2160p),55
1299.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),75
499.99,Direct Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),65
1999.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),55
599.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2024,120,Voice control,4K (2160p),50
1299.99,None,Samsung,OLED,Yes,Yes,None_OLED,2024,120,"Smart, Voice control",4K (2160p),65
1299.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,60,Standard,4K (2160p),85
649.99,Direct Lit,LG,LED,No,Yes,QNED,2025,60,Magic,4K (2160p),75
3199.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),83
999.99,Edge Lit,TCL,LED,No,Yes,QLED,2024,120,Voice control,4K (2160p),65
779.99,Edge Lit,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),55
699.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),65
449.99,Edge Lit,LG,LED,Yes,Yes,QNED,2025,60,Magic,4K (2160p),55
1399.99,None,Sony,OLED,No,Yes,None_OLED,2024,120,Voice control,4K (2160p),55
1799.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2024,120,"Smart, Voice control",4K (2160p),75
999.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),65
1748.9,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),55
899.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2025,120,Standard,4K (2160p),43
746.99,Edge Lit,LG,LED,Yes,Yes,Mini-LED QNED,2025,120,Magic,4K (2160p),65
459.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2025,60,"Standard, Voice control",4K (2160p),75
549.99,Edge Lit,LG,LED,Yes,Yes,QNED,2025,120,Magic,4K (2160p),65
2499.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),77
547.99,Edge Lit,Samsung,LED,No,Yes,QLED,2023,120,"Smart, Voice control",Full HD (1080p),32
249.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),50
2096.99,Edge Lit,Samsung,LED,No,Yes,QLED,2024,120,"Smart, Voice control",4K (2160p),75
1699.99,Direct Lit,Samsung,LED,Yes,Yes,Standard LED,2025,120,IR,4K (2160p),98
299.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2022,120,Voice control,HD (720p),32
379.99,Full Array Local Dimming,Toshiba,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),65
299.99,Full Array Local Dimming,Toshiba,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),55
649.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2024,60,Voice control,4K (2160p),55
2099.99,None,Sony,OLED,No,Yes,None_OLED,2025,120,Voice control,4K (2160p),77
799.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),75
349.99,Direct Lit,LG,LED,No,Yes,QNED,2025,60,Magic,4K (2160p),50
