price,spec_Backlight_Type,spec_Brand,spec_Display_Type,spec_ENERGY_STAR_Certified,spec_High_Dynamic_Range_HDR,spec_LED_Panel_Type,spec_Model_Year,spec_Refresh_Rate,spec_Remote_Control_Type,spec_Resolution,spec_Screen_Size_Class
139.99,Direct Lit,Hisense,LED,No,No,Standard LED,2025,144,Standard,Full HD (1080p),40
1799.99,None,Samsung,OLED,Yes,Yes,None_OLED,2024,120,"Smart, Voice control",4K (2160p),77
1299.99,None,LG,OLED,Yes,Yes,None_OLED,2024,120,Magic,4K (2160p),65
399.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,60,Standard,4K (2160p),65
2599.99,None,Sony,OLED,No,Yes,None_OLED,2024,120,Voice control,4K (2160p),77
1199.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),65
419.99,Direct Lit,Pioneer,LED,No,Yes,Standard LED,2025,120,"IR, Standard",4K (2160p),75
1199.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2025,120,Standard,4K (2160p),50
899.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),55
2999.99,None,Sony,OLED,No,Yes,None_OLED,2025,120,Voice control,4K (2160p),65
259.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2024,120,"Standard, Voice control",4K (2160p),55
1399.99,Full Array Local Dimming,Samsung,LED,Yes,Yes,Mini-LED,2025,120,Standard,4K (2160p),55
799.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2024,60,Voice control,4K (2160p),85
2799.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED,2024,120,Voice control,4K (2160p),75
1999.99,None,LG,OLED,Yes,Yes,None_OLED,2025,120,Magic,4K (2160p),83
161.99,Direct Lit,Insignia,LED,No,Yes,Standard LED,2023,144,"Voice control, Standard, IR",4K (2160p),43
1599.99,Full Array Local Dimming,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),65
869,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),55
1499.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),75
1599.99,Edge Lit,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),85
319.99,Direct Lit,Hisense,LED,No,Yes,QLED,2024,144,Voice control,4K (2160p),65
899.99,Full Array Local Dimming,Roku,LED,No,Yes,Mini-LED QLED,2025,60,Voice control,4K (2160p),75
1199.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),48
1799.99,Direct Lit,LG,LED,No,Yes,Standard LED,2024,120,Magic,4K (2160p),98
1999.99,None,Sony,OLED,No,Yes,None_OLED,2023,120,Voice control,4K (2160p),65
1799.99,Full Array Local Dimming,LG,LED,No,Yes,Mini-LED QNED,2025,120,Magic,4K (2160p),85
749.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2024,60,Voice control,4K (2160p),65
1799.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),85
1599.99,Edge Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),85
549.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),55
599.99,Direct Lit,LG,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),65
479.99,Direct Lit,LG,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),75
1099.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),42
149.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,60,Voice control,Full HD (1080p),43
3499.99,Full Array Local Dimming,Samsung,LED,No,Yes,Neo QLED,2025,120,Standard,4K (2160p),85
1999.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED,2025,120,Voice control,4K (2160p),85
399.99,Edge Lit,LG,LED,Yes,Yes,QNED,2025,120,Magic,4K (2160p),50
349.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,120,Voice control,4K (2160p),50
1399.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2024,60,Voice control,4K (2160p),85
349.99,Edge Lit,LG,LED,No,Yes,Standard LED,2023,60,"Magic, Voice control",4K (2160p),65
1799.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED,2025,120,Voice control,4K (2160p),75
101.99,Direct Lit,TCL,LED,No,No,Standard LED,2024,144,Standard,HD (720p),32
1043.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),65
379.99,Edge Lit,LG,LED,Yes,Yes,QNED,2025,60,Magic,4K (2160p),43
1999.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED QLED,2024,120,Voice control,4K (2160p),75
1499.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),65
549.99,Direct Lit,Hisense,LED,No,Yes,QLED,2024,144,Voice control,4K (2160p),75
549.99,Edge Lit,LG,LED,No,Yes,Standard LED,2023,60,"Magic, Voice control",4K (2160p),75
860.99,Full Array Local Dimming,Roku,LED,No,Yes,Mini-LED QLED,2025,120,"Voice control, Backlit",4K (2160p),55
899.99,Direct Lit,Roku,LED,No,Yes,Standard LED,2025,60,Voice control,4K (2160p),85
899.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,Standard,4K (2160p),85
1799.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2025,120,Standard,4K (2160p),85
449.99,Direct Lit,Hisense,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),75
999.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),85
1199.99,Full Array Local Dimming,Roku,LED,No,Yes,Mini-LED QLED,2025,120,"Voice control, Backlit",4K (2160p),65
1438.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),85
1599.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),75
1599.99,Edge Lit,LG,LED,Yes,Yes,Mini-LED QNED,2025,120,Magic,4K (2160p),86
799.99,Direct Lit,Hisense,LED,No,Yes,QLED,2025,120,Voice control,4K (2160p),85
949.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2024,120,Voice control,4K (2160p),75
2499.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED,2024,120,Voice control,4K (2160p),65
1699.99,Edge Lit,Hisense,LED,No,Yes,QLED,2025,144,"Voice control, Backlit",4K (2160p),75
549.99,Direct Lit,Hisense,LED,No,Yes,QLED,2025,60,Voice control,4K (2160p),75
2199.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),98
1699.99,Edge Lit,TCL,LED,No,Yes,QLED,2024,120,Voice control,4K (2160p),75
1299.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED QLED,2024,120,Voice control,4K (2160p),55
649.99,Edge Lit,LG,LED,Yes,Yes,Mini-LED QNED,2025,120,Magic,4K (2160p),55
1399.99,None,Sony,OLED,No,Yes,None_OLED,2022,120,Voice control,4K (2160p),48
1299.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED,2025,120,Voice control,4K (2160p),65
3699.99,Full Array Local Dimming,LG,LED,No,Yes,Mini-LED QNED,2025,120,Magic,4K (2160p),100
1899.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2024,120,"Smart, Voice control",4K (2160p),75
169.99,Direct Lit,Hisense,LED,No,No,QLED,2025,120,Standard,Full HD (1080p),40
499.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2024,60,"Standard, Voice control",4K (2160p),75
1499.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED QLED,2024,120,Voice control,4K (2160p),65
1099.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2024,144,"Voice control, Backlit",4K (2160p),75
649.99,Direct Lit,Hisense,LED,No,Yes,Standard LED,2024,120,Standard,4K (2160p),85
1499.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),65
132.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2023,120,Voice control,Full HD (1080p),32
499.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,120,Voice control,4K (2160p),65
1499.99,Direct Lit,Hisense,LED,No,Yes,QLED,2025,144,Voice control,4K (2160p),98
151.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2023,60,Voice control,Full HD (1080p),40
1699.99,Full Array Local Dimming,Roku,LED,No,Yes,Mini-LED QLED,2025,120,"Voice control, Backlit",4K (2160p),75
1399.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),75
2599.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED QLED,2024,120,Voice control,4K (2160p),85
247.99,Edge Lit,Samsung,LED,No,No,Standard LED,2019,120,Standard,Full HD (1080p),40
1199.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),55
749.99,Edge Lit,LG,LED,Yes,Yes,QNED,2025,60,Magic,4K (2160p),75
2499.99,None,Sony,OLED,No,Yes,None_OLED,2025,120,Voice control,4K (2160p),55
3499.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),100
799.99,Edge Lit,Samsung,LED,No,Yes,QLED,2024,120,"Smart, Voice control",4K (2160p),65
1799.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),77
2463.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2024,120,"Smart, Voice control",8K (4320p),75
1299.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,144,Voice control,4K (2160p),85
2499.99,None,Samsung,OLED,Yes,Yes,None_OLED,2025,120,Standard,4K (2160p),83
510,Direct Lit,Samsung,LED,No,Yes,Standard LED,2024,60,Smart,4K (2160p),55
1299.99,None,Sony,OLED,No,Yes,None_OLED,2022,120,Voice control,4K (2160p),42
999.99,None,Samsung,OLED,Yes,Yes,None_OLED,2024,120,"Smart, Voice control",4K (2160p),42
2299.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,165,"Voice control, Backlit",4K (2160p),85
479.99,Direct Lit,Hisense,LED,No,Yes,QLED,2024,60,Voice control,4K (2160p),75
399.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2025,120,Voice control,4K (2160p),55
680.99,Direct Lit,Hisense,LED,No,Yes,QLED,2024,120,Voice control,4K (2160p),85
1897.99,None,Samsung,OLED,Yes,Yes,None_OLED,2024,120,"Smart, Voice control",4K (2160p),55
2499.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),85
1099.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED,2025,120,Voice control,4K (2160p),55
109.99,Direct Lit,Toshiba,LED,No,Yes,Standard LED,2025,60,Voice control,HD (720p),32
1299.99,Direct Lit,Samsung,LED,No,Yes,QLED,2025,120,Standard,4K (2160p),85
996.99,None,LG,OLED,Yes,Yes,None_OLED,2024,120,Magic,4K (2160p),48
303.99,Direct Lit,LG,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),50
2999.99,None,Samsung,OLED,Yes,Yes,None_OLED,2024,120,"Smart, Voice control",4K (2160p),77
547.99,None,Panasonic,OLED,No,No,None_OLED,2024,144,Standard,4K (2160p),55
899.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2024,144,"Voice control, Backlit",4K (2160p),65
999.99,Direct Lit,TCL,LED,No,Yes,QLED,2024,120,"Standard, Voice control",4K (2160p),85
1999.99,None,LG,OLED,No,Yes,None_OLED,2024,120,Magic,4K (2160p),55
949.99,Edge Lit,LG,LED,No,Yes,QNED,2024,120,Magic,4K (2160p),75
1079.99,None,Samsung,LCD,Yes,Yes,None_OLED,2023,60,Standard,Full HD (1080p),55
1452.99,Full Array Local Dimming,LG,LED,No,Yes,Mini-LED QNED,2025,120,Magic,4K (2160p),75
299.99,Direct Lit,Hisense,LED,No,Yes,Standard LED,2025,120,Voice control,4K (2160p),65
119.99,Edge Lit,Samsung,LED,No,No,Standard LED,2017,60,Standard,HD (720p),32
490,Direct Lit,Samsung,LED,No,No,Standard LED,2025,144,Standard,4K (2160p),50
2499.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),75
390,Direct Lit,Samsung,LED,No,No,Standard LED,2025,60,Standard,4K (2160p),43
1299.99,None,Sony,OLED,No,Yes,None_OLED,2023,120,Voice control,4K (2160p),65
499.99,Direct Lit,Sony,LED,No,Yes,Standard LED,2023,60,Voice control,4K (2160p),55
499.99,None,Philips,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),75
2999.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),85
1999.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2025,144,"Backlit, Voice control",4K (2160p),65
327.9,Edge Lit,LG,LED,No,Yes,QNED,2024,144,Magic,4K (2160p),43
1799.99,Full Array Local Dimming,TCL,LED,No,Yes,Mini-LED QLED,2024,144,"Backlit, Voice control",4K (2160p),85
2897.99,Full Array Local Dimming,Samsung,LED,No,Yes,QLED,2024,120,Standard,4K (2160p),55
2499.99,Edge Lit,Hisense,LED,No,Yes,QLED,2025,144,"Voice control, Backlit",4K (2160p),85
1499.99,Direct Lit,TCL,LED,No,Yes,QLED,2025,144,Voice control,4K (2160p),98
450,Direct Lit,Samsung,LED,No,Yes,Standard LED,2024,120,Smart,4K (2160p),50
1199.99,Direct Lit,LG,LED,No,Yes,QNED,2025,60,Magic,4K (2160p),86
449.99,Direct Lit,LG,LED,No,Yes,Standard LED,2022,120,Standard,4K (2160p),70
909.99,None,Samsung,LCD,Yes,Yes,None_OLED,2023,120,Standard,Full HD (1080p),50
629.99,Edge Lit,Samsung,LED,No,Yes,Standard LED,2024,120,Standard,4K (2160p),65
2199.99,Edge Lit,TCL,LED,No,Yes,QLED,2024,120,Voice control,4K (2160p),85
149.99,None,Philips,LED,No,No,Standard LED,2024,120,Standard,Full HD (1080p),32
424.99,Edge Lit,Samsung,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),55
2799.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2023,144,Voice control,4K (2160p),100
712.99,Direct Lit,Samsung,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),85
109.9,None,Westinghouse,LED,No,No,Standard LED,2021,120,Standard,HD (720p),32
569.99,Full Array Local Dimming,TCL,LED,No,Yes,QLED,2023,120,"Voice control, Backlit",4K (2160p),65
3354.21,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2025,120,"Smart, Voice control",8K (4320p),75
209.99,None,Supersonic,LED,No,No,Standard LED,2024,144,Standard,HD (720p),19
1196.99,None,LG,OLED,Yes,Yes,None_OLED,2024,120,Magic,4K (2160p),55
1450,None,Samsung,LCD,Yes,Yes,None_OLED,2023,120,Standard,4K (2160p),65
1099.99,Full Array Local Dimming,LG,LED,Yes,Yes,Mini-LED QNED,2024,120,Magic,4K (2160p),75
2718.9,None,LG,OLED,Yes,Yes,None_OLED,2024,120,Magic,4K (2160p),83
369.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2024,60,"Standard, Voice control",4K (2160p),65
149.99,None,Copeland,LCD,No,No,None_OLED,2024,60,Standard,HD (720p),13
259.99,None,Philips,LED,No,Yes,Standard LED,2024,120,Standard,4K (2160p),55
989.99,None,LG,OLED,Yes,Yes,None_OLED,2024,120,Magic,4K (2160p),55
1299.99,Edge Lit,LG,LED,Yes,Yes,QNED,2025,120,Magic,4K (2160p),86
149.99,None,Westinghouse,LED,No,No,Standard LED,2021,120,Standard,HD (720p),32
249.99,Direct Lit,Westinghouse,LED,No,Yes,Standard LED,2021,120,Multifunction,4K (2160p),43
247.99,Edge Lit,Samsung,LED,No,No,Standard LED,2018,120,Standard,HD (720p),32
299.99,None,Philips,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),50
999.99,Direct Lit,DuraPro,LED,No,Yes,Standard LED,2025,60,Magic,4K (2160p),55
2797.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2025,120,"Smart, Voice control",8K (4320p),65
2499.99,Direct Lit,DuraPro,LED,No,Yes,Standard LED,2025,120,Magic,4K (2160p),75
559.99,Edge Lit,Samsung,LED,No,Yes,QLED,2024,120,"Smart, Voice control",4K (2160p),55
601.35,None,Samsung,LCD,Yes,Yes,None_OLED,2023,60,Standard,Full HD (1080p),43
359.99,Full Array Local Dimming,Roku,LED,No,Yes,QLED,2023,60,Voice control,4K (2160p),75
599.99,Edge Lit,LG,LED,No,Yes,QNED,2024,120,Magic,4K (2160p),55
699.99,Edge Lit,LG,LED,No,Yes,QNED,2024,60,Magic,4K (2160p),65
2949.99,Edge Lit,Samsung,LED,No,Yes,QLED,2024,120,"Smart, Voice control",4K (2160p),85
799.99,Edge Lit,LG,LED,Yes,Yes,QNED,2024,120,Magic,4K (2160p),65
279.99,Direct Lit,LG,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),55
324.99,None,LG,OLED,Yes,Yes,None_OLED,2024,120,Magic,4K (2160p),65
699.99,Edge Lit,LG,LED,Yes,Yes,QNED,2024,120,Magic,4K (2160p),55
1709.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2024,144,"Voice control, Backlit",4K (2160p),85
249.99,None,Copeland,LED,No,No,Standard LED,2024,120,Standard,HD (720p),24
1944,None,Samsung,LCD,Yes,Yes,None_OLED,2023,120,Standard,Full HD (1080p),75
1599.99,None,Samsung,OLED,No,Yes,None_OLED,2024,120,"Smart, Voice control",4K (2160p),77
105.99,None,Copeland,LCD,No,No,None_OLED,2024,120,Standard,4K (2160p),7
2279.99,None,LG,OLED,No,Yes,None_OLED,2024,120,Magic,4K (2160p),65
239.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2024,60,"Standard, Voice control",4K (2160p),50
174.99,None,Norcent,LED,No,No,Standard LED,2024,120,Standard,HD (720p),32
199.99,Direct Lit,TCL,LED,No,Yes,Standard LED,2024,60,"Standard, Voice control",4K (2160p),43
720,Direct Lit,Samsung,LED,No,No,Standard LED,2025,60,Standard,4K (2160p),65
747.99,None,Panasonic,OLED,No,No,None_OLED,2024,144,Standard,4K (2160p),65
1097.99,Full Array Local Dimming,Samsung,LED,No,Yes,QLED,2024,120,"Smart, Voice control",4K (2160p),75
139.99,None,Norcent,LED,No,No,Standard LED,2024,120,Standard,HD (720p),24
347.99,None,Panasonic,LCD,No,No,None_OLED,2024,120,Standard,4K (2160p),55
3199,None,Samsung,OLED,No,Yes,None_OLED,2024,120,"Smart, Voice control",4K (2160p),83
329.99,None,Emerson,LED,No,No,Standard LED,2024,120,Standard,HD (720p),40
949.99,Edge Lit,Samsung,LED,No,Yes,Standard LED,2024,120,Standard,4K (2160p),85
2199.99,Full Array Local Dimming,Hisense,LED,No,Yes,Mini-LED QLED,2024,144,Standard,4K (2160p),85
269.99,None,Supersonic,LED,No,No,Standard LED,2024,120,Standard,Full HD (1080p),32
2089.99,Full Array Local Dimming,Samsung,LED,No,Yes,Mini-LED,2024,120,"Smart, Voice control",4K (2160p),85
1079.99,Full Array Local Dimming,LG,LED,Yes,Yes,Mini-LED QNED,2024,120,Magic,4K (2160p),65
849.99,Direct Lit,Hisense,LED,No,Yes,QLED,2024,144,Voice control,4K (2160p),85
119.54,None,Westinghouse,OLED,No,No,None_OLED,2021,60,Standard,HD (720p),32
1699.99,Full Array Local Dimming,Roku,LED,No,Yes,Mini-LED QLED,2024,120,"Voice control, Backlit",4K (2160p),75
3499.99,Full Array Local Dimming,Sony,LED,No,Yes,Mini-LED,2022,120,Voice control,8K (4320p),75
427.99,Edge Lit,Samsung,LED,No,Yes,Standard LED,2024,60,Standard,4K (2160p),50
